ranks,views,article
259,607477,Candace_Owens
260,605372,Sauron
261,604195,Sardar_(2022_film)
262,602339,All_Quiet_on_the_Western_Front_(2022_film)
263,601753,Miles_Teller
264,600997,Android_(operating_system)
265,600459,The_Handmaid's_Tale_(TV_series)
266,597778,Gotham_Knights_(video_game)
267,594576,Doctor_Who
268,594336,MacOS
269,594308,Brad_Pitt
270,594180,Death_of_Mahsa_Amini
271,592484,Sara_Lee_(wrestler)
272,592182,Henry_Cavill
273,591309,Hellraiser
274,588636,Spotify
275,587620,2022–23_UEFA_Champions_League
276,587403,Kobe_Bryant
277,587156,Day_of_the_Dead
278,586915,"Prince_Philip,_Duke_of_Edinburgh"
279,586704,Crown_Jewel_(2022)
280,586111,Kaley_Cuoco
281,583030,Iran
282,582888,Amazon_(company)
283,581789,BBC_World_Service
284,581267,RRR_(film)
285,580690,Nancy_Pelosi
286,580373,Fire_&_Blood_(novel)
288,577543,Milly_Alcock
289,576505,Muhammad_Ali
290,576351,List_of_James_Bond_films
291,575922,Scorn_(video_game)
292,575379,List_of_prime_ministers_of_the_United_Kingdom_by_length_of_tenure
293,575011,Arthur_Miller
294,568352,Infosys
295,563101,Eminem
296,563026,JavaScript
298,560972,George_V
299,560523,Mike_Tyson
300,560366,George_Clooney
301,558568,List_of_states_and_territories_of_the_United_States
302,554167,The_Walking_Dead_(TV_series)
303,553403,Naane_Varuvean
304,551774,Khabib_Nurmagomedov
305,550964,George_R._R._Martin
306,549641,"Twitter,_Inc."
307,549407,Paddy_Considine
308,549072,Germany
309,548745,Halloween_(2018_film)
310,548665,English_language
311,547519,Christian_Bale
312,545068,Thor:_Love_and_Thunder
313,542313,Chief_executive_officer
314,541389,Mulayam_Singh_Yadav
315,541383,The_Woman_King
316,541116,Bridget_Moynahan
317,541080,2022_Ballon_d'Or
318,540673,Derry_Girls
319,540451,Pete_Davidson
320,540450,Mia_Goth
321,539023,Angelina_Jolie
322,537042,Dietrich_Mateschitz
323,535712,Sudha_Murty
325,535277,Turkey
326,534776,Jair_Bolsonaro
327,534434,Dusty_Baker
328,534167,Christopher_Columbus
329,533811,Manchester_City_F.C.
330,533362,Waukesha_Christmas_parade_attack
331,533351,A._P._J._Abdul_Kalam
332,532828,Joe_DiMaggio
333,532776,The_Banshees_of_Inisherin
334,531589,Camila_Cabello
335,530000,Ron_DeSantis
336,528947,Barack_Obama
337,528375,John_F._Kennedy
338,528233,Tham_Luang_cave_rescue
339,527405,Zoe_Saldaña
340,525883,American_Horror_Story:_NYC
341,525850,Max_Verstappen
342,525317,Emma_Roberts
343,522248,Stanley_Tucci
344,522237,Dua_Lipa
345,521541,Chola_dynasty
346,521523,Jordan_Peterson
347,520588,Death_of_Marilyn_Monroe
348,518820,The_Super_Mario_Bros._Movie
349,518493,Gladys_Pearl_Baker
350,517658,Steve_Jobs
351,517065,October_2022_Conservative_Party_leadership_election
352,516534,The_White_Lotus
353,516348,Christian_McCaffrey
354,515069,Charles_Chaplin_Jr.
355,514317,Scarlett_Johansson
356,512086,Bryce_Harper
357,511869,Artificial_intelligence
358,511465,Madonna
359,510641,Arnold_Schwarzenegger
360,510094,Mehmet_Oz
361,508791,"Solar_eclipse_of_October_25,_2022"
362,506432,Rohan_Murty
363,506219,Rick_and_Morty_(season_6)
364,505559,Pornhub
365,505249,Florence_Pugh
366,505140,Generation_Z
367,501681,Matt_Goss
368,500863,Anya_Taylor-Joy
369,500819,BTS
370,500726,London
371,499751,FC_Barcelona
372,499740,Rajaraja_I
373,499323,XXX
374,499302,Pakistan
375,498299,Freddie_Mercury
376,496303,FIFA_World_Cup
377,495949,Lisa_Marie_Presley
378,495460,Val_Kilmer
379,495016,Brendan_Gleeson
380,494055,Google_Maps
381,493266,2022_United_States_elections
382,493091,Albert_Einstein
383,492917,Jan_Broberg_Felt
384,492193,A_Friend_of_the_Family_(TV_series)
385,492095,Leonardo_DiCaprio
387,491315,Nayanthara
388,490968,Giorgia_Meloni
389,489512,Ticket_to_Paradise_(2022_film)
390,488866,IOS
391,488099,Justin_Verlander
392,487921,Virat_Kohli
393,487455,Amitabh_Bachchan
394,487330,Jake_Paul
395,486882,Avatar:_The_Way_of_Water
396,486476,Soviet_Union
397,483824,Armie_Hammer
398,483010,Michael_Jordan
399,482399,Deion_Sanders
400,481849,Little_Women_(2022_TV_series)
401,481448,Charles_Manson
402,480883,Chelsea_F.C.
403,480852,Arsenal_F.C.
404,475916,List_of_countries_by_GDP_(nominal)
405,474660,Netherlands
406,474444,California
407,474255,Jeff_Bezos
408,473721,Clint_Eastwood
409,473452,La_Liga
410,473371,Daniel_Ek
411,472529,Vikram_(2022_film)
412,472057,Morfydd_Clark
413,471636,Vaishali_Takkar
414,468564,Philippines
415,468524,Marvel_Cinematic_Universe
416,468023,Attack_of_the_Dead_Men
417,466650,Cyberpunk:_Edgerunners
418,465246,Call_of_Duty:_Modern_Warfare_2
419,465133,J._R._R._Tolkien
420,463077,Shia_LaBeouf
421,462784,Lewis_Hamilton
422,462352,Priscilla_Presley
423,461883,Fall_(2022_film)
424,461610,DEFCON
425,461449,2022_in_film
426,460365,The_Lord_of_the_Rings
427,460049,Rashmika_Mandanna
428,459746,Indonesia
429,457978,The_Stranger_(2022_film)
430,457688,Conservative_Party_(UK)
431,457340,OnlyFans
432,457264,Disappearance_of_Emanuela_Orlandi
433,456410,"William,_Prince_of_Wales"
434,456267,Alia_Bhatt
435,455917,Wiki
436,455805,List_of_countries_by_Human_Development_Index
437,455552,Brendan_Fraser
438,454678,Johnny_Depp
439,454511,List_of_American_films_of_2022
440,454318,Beetlejuice
441,454023,LGBT
442,453430,NXT_Halloween_Havoc_(2022)
443,452888,The_Lord_of_the_Rings_(film_series)
444,452231,Shaquille_O'Neal
445,450707,List_of_serial_killers_in_the_United_States
446,450175,Peaky_Blinders_(TV_series)
447,449820,List_of_Teachers'_Days
448,449579,Breaking_Bad
449,447292,Avatar_(2009_film)
450,446649,Tom_Pelphrey
451,446081,The_School_for_Good_and_Evil
452,446079,Luke_Macfarlane
453,445317,Anna_Sorokin
454,445048,Marvel_Cinematic_Universe:_Phase_Four
455,444702,The_Crown_(TV_series)
456,442959,Stranger_Things
457,442797,Wikimedia_Foundation
458,442455,Jimmy_Carter
459,441792,The_Sinner_(TV_series)
460,441507,Guillermo_del_Toro
461,440872,Fellatio
462,439524,Kim_Petras
463,438941,Roblox
464,438792,David_Bowie
465,438285,France
466,437453,Werewolf_by_Night
467,437082,Brazil
468,436652,C++
469,436124,Pierce_Brosnan
470,435994,Nope_(film)
471,435758,Aishwarya_Rai_Bachchan
472,435465,Italy
473,434646,Karthikeya_2
474,433989,Selena_Gomez
475,433130,Tár
476,432601,Bella_Hadid
477,431943,Kris_Jenner
478,431661,Apple_Inc.
479,431501,Liverpool_F.C.
480,431326,Edward_VII
481,430989,South_Africa
482,430799,Sylvester_Stallone
483,430212,Taiwan
484,430197,Rihanna
485,428502,Catherine_de'_Medici
486,428435,Abraham_Lincoln
487,427837,Sandy_Hook_Elementary_School_shooting
488,427576,Mahsa_Amini_protests
489,427084,Paris_Saint-Germain_F.C.
490,425953,Arshad_Sharif
491,425765,Ottoman_Empire
492,425112,Jack_Dorsey
493,422265,Geena_Davis
494,421471,Tupac_Shakur
496,420878,.xxx
497,420458,Joe_Alwyn
498,420425,2022_Atlantic_hurricane_season
499,419756,Hannah_Waddingham
500,418949,Rings_of_Power
501,417078,Tua_Tagovailoa
502,416484,Interview_with_the_Vampire_(TV_series)
503,416330,Vendhu_Thanindhathu_Kaadu
504,415543,England
505,415042,Jayde_Adams
506,414866,Casualties_of_the_Russo-Ukrainian_War
507,414756,Jennifer_Connelly
508,414563,Mia_Farrow
509,414446,Rakshit_Shetty
510,414351,Pablo_Escobar
511,414301,Shalin_Bhanot
512,414278,Philadelphia_Phillies
513,414136,Jack_Harlow
514,413829,Edmund_Kemper
515,413456,Strictly_Come_Dancing_(series_20)
516,413247,Seven_deadly_sins
517,413192,Paul_Newman
518,413127,UEFA_Europa_League
519,411985,Aaron_Rodgers
520,411509,DD
521,409508,K.G.F:_Chapter_2
522,409482,Annie_Ernaux
523,408602,Millie_Bobby_Brown
524,408105,Patrick_Mahomes
525,407912,Harry_Potter_(film_series)
526,406490,TikTok
527,406352,Anderson_Silva
528,405392,Kylian_Mbappé
529,405379,Doctor_G
530,405321,Next_United_Kingdom_general_election
531,405282,Eddie_Redmayne
532,405240,Ashton_Kutcher
533,405053,Napoleon
534,404515,Cate_Blanchett
535,404362,Mallikarjun_Kharge
536,404115,United_Arab_Emirates
537,403857,Travis_Barker
538,403765,Volodymyr_Zelenskyy
539,403658,Billie_Eilish
540,403403,Tony_Adams
541,402525,Sacheen_Littlefeather
542,402169,William_Shakespeare
543,401220,Chadwick_Boseman
544,401203,Sosie_Bacon
545,400930,World_Teachers'_Day
546,400719,Constance_Wu
547,400182,Mani_Ratnam
548,400168,Emma_Watson
549,400113,Zendaya
550,399984,Vietnam_War
551,399945,Josh_Allen_(quarterback)
552,399520,Skaar_(character)
553,399476,The_Try_Guys
554,398565,Nanjing_Massacre
555,398095,Harry_Potter
556,397828,Linux
557,397790,Muhammad
558,397718,Colonel_Tom_Parker
559,397137,Everything_Everywhere_All_at_Once
560,397078,Robin_Williams
561,396936,David_Tennant
562,396871,List_of_highest-grossing_films
563,396729,New_Zealand
564,396426,Super_Bowl_XXX
565,395919,Mark_Wahlberg
566,394001,Theresa_May
567,393275,Galadriel
568,393067,Robert_Lewandowski
569,392824,Grey's_Anatomy
570,392689,Blake_Lively
571,392402,Ant-Man_and_the_Wasp:_Quantumania
572,391365,Charlie_Chaplin
573,390869,Cyprus
574,390448,List_of_The_Handmaid's_Tale_episodes
575,390378,Black_Panther_(film)
576,390151,Ed_and_Lorraine_Warren
577,389968,Keir_Starmer
578,389844,Better_Call_Saul
579,389786,NATO
580,389449,Zac_Efron
581,389386,Jessica_Chastain
582,388629,Europe
583,388618,Qatar
584,387098,Saudi_Arabia
585,386798,Kylie_Jenner
586,386558,Israel
587,386059,Aishwarya_Lekshmi
588,385902,Sandra_Bullock
589,385765,Vikram_(actor)
590,385219,Margot_Robbie
591,385081,Gwen_Stefani
592,385061,Josh_Heupel
593,384966,2022
594,384922,Stephen_Hawking
595,384897,Jason_Sudeikis
596,384626,Sarah_Shahi
597,383488,Los_Angeles
598,383141,Bangladesh
599,382974,Charlie_Puth
600,382482,Call_of_Duty
601,381978,American_Psycho_(film)
602,381530,Liam_Neeson
603,381446,Switzerland
604,381029,Mostafa_El-Abbadi
605,380842,"Anne,_Princess_Royal"
606,380780,Nick_Cannon
607,380641,Vikram_Vedha
608,380121,South_Korea
609,379220,Trisha_(actress)
610,378678,C_(programming_language)
611,378416,Princess_Sophie_of_Bavaria
612,378223,"Meghan,_Duchess_of_Sussex"
613,377785,Chris_Pratt
614,376221,Chancellor_of_the_Exchequer
615,376186,North_America
616,375669,Thora_Birch
617,375628,Creed_III
618,375449,Dakota_Johnson
619,373988,Stephen_Curry
620,373588,Ted_Lasso
621,373223,Ted_Kaczynski
622,373108,Ariana_Grande
623,372883,Last_Seen_Alive
624,372860,Yom_Kippur
625,372517,"Louis_Mountbatten,_1st_Earl_Mountbatten_of_Burma"
626,372143,Colin_Farrell
627,371368,The_Nightmare_Before_Christmas
628,370221,Brittney_Griner
629,369916,"Prince_Harry,_Duke_of_Sussex"
630,369775,Zlatan_Ibrahimović
631,369169,Jennifer_Lopez
632,368883,Timeline_of_the_2022_Russian_invasion_of_Ukraine:_phase_3
633,368522,Billy_Eichner
634,368337,Crimea
635,367744,Jennifer_Aniston
636,367144,Henry_VIII
637,366528,Millennials
638,366231,Taj_Mahal
639,366200,Mexico
640,365530,Ezra_Miller
641,364768,The_Beatles
642,364357,Shah_Rukh_Khan
643,364020,Jeepers_Creepers_(2001_film)
644,363763,Spain
645,362228,MrBeast
646,362105,Alexander_the_Great
647,361900,Chucky_(TV_series)
648,361841,Martin_Lorentzon
649,361658,Chernobyl_disaster
650,361537,Gigi_Hadid
651,359871,2023_Cricket_World_Cup
652,359809,Soham_murders
653,359394,Vijayadashami
654,359243,Rorschach_(film)
655,359139,Elizabeth_I
656,358634,Telegram_(software)
657,358607,Thérèse_Coffey
658,358569,Prince_(2022_film)
659,358506,Bruce_Willis
660,358361,Sam_Smith
661,358292,Neymar
662,358199,List_of_countries_and_dependencies_by_population
663,357750,The_Boys_(TV_series)
664,357737,HESA_Shahed_136
665,357295,Vincent_van_Gogh
666,357143,SmartBear
667,357048,E-commerce
668,356605,Waffle_House_Index
669,356539,Tom_Holland
670,356403,Karthi
671,356288,Poland
672,356194,Sophia_Anne_Caruso
673,356034,Antisemitism
674,355689,Tatiana_Maslany
675,355076,Kym_Marsh
676,354923,Isildur
677,354057,American_Civil_War
678,353347,Heath_Ledger
679,353173,Jason_Momoa
680,353160,The_Masked_Singer_(American_season_8)
681,353098,DC_Extended_Universe
682,352944,David_Cameron
683,352314,Velma_Dinkley
684,352275,Sajid_Khan_(director)
685,352236,September_11_attacks
686,352141,Selma_Blair
687,350996,Ronald_Reagan
688,350581,2019_United_Kingdom_general_election
689,350401,Samhain
690,350253,Christopher_Lloyd
691,349562,Harvey_Weinstein
692,349091,John_Lennon
693,348951,Triangle_of_Sadness
694,348782,Tom_Hanks
695,348744,Tom_DeLonge
696,348418,Hereditary_(film)
697,348334,Jacob_Rees-Mogg
698,348285,The_Bear_(TV_series)
699,348032,Jules_Bianchi
701,347691,From_Scratch_(TV_series)
702,346910,Snoop_Dogg
703,346607,2020_United_States_presidential_election
704,346023,Burj_Khalifa
705,345832,Biggest_ball_of_twine
706,345460,Christopher_Guest
707,345126,List_of_Doctor_Who_episodes_(2005–present)
708,345081,Lady_Gaga
709,344889,Joseph_Stalin
710,344673,George_Washington
711,344620,Maya_Hawke
712,344572,Apple_Network_Server
713,344547,List_of_Tamil_films_of_2022
714,344209,Yellowstone_(American_TV_series)
715,344132,Rupert_Murdoch
716,343917,Winona_Ryder
717,343635,Gary_Ridgway
718,343625,Borderline_personality_disorder
719,343464,Vijaya_Gadde
720,342966,Maximilian_I_of_Mexico
721,342798,Russell_Wilson
722,342036,Quentin_Tarantino
724,341294,Justin_Bieber
725,341139,Drew_Barrymore
726,341117,Spider-Man:_No_Way_Home
727,340866,Marvel_Cinematic_Universe:_Phase_Five
728,340559,Inheritance_(2020_film)
729,340496,Ronaldo_(Brazilian_footballer)
730,340072,Tom_Hardy
731,339782,2026_FIFA_World_Cup
732,339752,XVideos
733,339655,Marlon_Brando
734,339512,Red_Hot_Chili_Peppers
735,339029,Microsoft_365
736,338953,Lizzo
737,338879,2023_AFC_U-17_Asian_Cup_qualification
738,338745,Jesus
739,338402,Top_Gun
740,338068,Peyton_Manning
741,337821,T.J._Miller
742,337785,The_Greatest_Beer_Run_Ever
743,337687,Niecy_Nash
744,337557,Kevin_Spacey
745,337217,Chris_Hemsworth
746,337061,Diane_Morgan
747,336776,Rick_and_Morty
748,336679,Hailey_Bieber
749,336541,Tyson_Fury
750,336386,Pornography
751,336239,Amal_Clooney
752,336144,The_Troubles
753,335915,Timothée_Chalamet
754,335862,Ben_Affleck
755,335800,Tony_Blair
756,335639,Salman_Khan
757,335402,Afghanistan
758,334953,The_Big_Bang_Theory
759,334812,Sean_O'Malley_(fighter)
760,334442,Steve_McQueen
761,333971,50_Cent
762,333508,HTTP_cookie
762,333508,Kevin_Bacon
764,333469,Ryan_Murphy_(filmmaker)
765,333436,Jennifer_Lawrence
766,333140,Danny_DeVito
767,332996,Email
768,332738,Anne_Hathaway
769,332241,Travis_Kelce
770,331956,Kazakhstan
771,331215,Tim_Burton
772,330641,Minecraft
773,330553,20th_Century_Girl
774,330257,Liam_Hemsworth
775,330206,Pro_Kabaddi_League
776,330186,Stephen_King
777,330175,Good_Friday_Agreement
778,330091,Jalen_Hurts
779,330016,Robert_Downey_Jr.
780,329558,List_of_UFC_events
781,329489,Earth
782,329480,Sundar_Pichai
783,329348,Nigeria
784,329151,Crystal_Gayle
785,329074,Windows_10_version_history
786,328910,"Mary,_Queen_of_Scots"
787,328801,Carrie_Fisher
788,328791,Jack_Antonoff
789,328560,Thailand
790,328463,Malaysia
791,328335,Rose_Byrne
792,328162,"Camilla,_Queen_Consort"
793,328140,Viscus
794,328016,Bleach:_Thousand-Year_Blood_War
795,327833,Roman_Empire
796,327818,Prince_(musician)
797,327028,Animal
798,326673,Elton_John
799,325913,Man-Thing
800,325878,Timeline_of_the_2022_Russian_invasion_of_Ukraine
801,325870,Austin_Butler
802,325830,List_of_ethnic_slurs
803,325809,HTTP_404
804,325604,Paul_Pelosi
805,325592,List_of_most-subscribed_YouTube_channels
806,325509,Vietnam
807,325416,The_Witcher_(TV_series)
808,325216,Narendra_Modi
809,325109,Nikola_Tesla
810,324777,Fascism
811,324479,Dennis_Rader
812,324444,Anna_Nicole_Smith
813,323987,Deontay_Wilder
814,323689,Hugh_O'Leary
815,323661,Jamie_Clayton
816,323279,Matthew_McConaughey
817,322775,The_Batman_(film)
818,322724,Franklin_D._Roosevelt
819,322701,Alec_Baldwin
820,322664,Charlize_Theron
821,322560,Megan_(2023_film)
822,322347,Mao_Zedong
823,322309,Sweden
824,322106,XXX:_State_of_the_Union
825,321867,Atomic_bombings_of_Hiroshima_and_Nagasaki
826,321866,Ireland
827,321448,Daniel_Craig
828,320763,Malta
829,320762,Ramzan_Kadyrov
830,320522,Mark_Zuckerberg
831,320336,Jurassic_World_Dominion
832,320004,Nury_Martinez
833,319609,John_Carpenter
834,319342,Georgia_(country)
835,319320,Nicolas_Cage
836,318901,Dolly_Parton
837,318779,Alexander_Volkanovski
838,318238,The_Sandman_(TV_series)
839,318236,Jackie_Chan
840,318102,Iliza_Shlesinger
841,318067,COVID-19_pandemic
842,317967,The_Black_Phone
843,317925,Tales_of_the_Jedi_(TV_series)
844,317462,Caitlyn_Jenner
845,317403,Nora_Fatehi
846,317298,Mohamed_Salah
847,316711,Buta_Kola
848,316702,Adam_Sandler
849,316599,Twitch_(service)
850,316508,Bill_Skarsgård
851,316465,List_of_The_Walking_Dead_episodes
852,316328,Mike_Flanagan_(filmmaker)
853,316285,Steeve_Ho_You_Fat
854,316117,Microsoft
855,316057,Paul_Buchheit
856,315759,Jim_Carrey
857,315718,Belarus
858,315104,Nicki_Minaj
859,314952,VoteRiders
860,314945,Columbus_Day
861,314779,Cillian_Murphy
862,314735,Samuel_Little
863,314725,AC_Omonia
864,314262,Zodiac_Killer
865,314005,2008_United_States_men's_Olympic_basketball_team
866,313811,John_List_(murderer)
867,313780,Hong_Kong
868,313680,Halsey_(singer)
869,313612,Emily_Blunt
870,313469,Lily_James
871,313413,Bill_Gates
872,312881,Emilia_Clarke
873,312862,James_Corden
874,312395,"Antony_Armstrong-Jones,_1st_Earl_of_Snowdon"
875,311972,Rob_McElhenney
876,311956,Single-player
877,311786,Pink_Floyd
878,311312,Danny_Masterson
879,311158,Graham_Potter
880,310927,Bray_Wyatt
881,310653,Tim_Curry
882,310573,Vande_Bharat_Express
883,310522,Houston_Astros
884,310443,Natalie_Portman
885,310391,October_2022_United_Kingdom_government_crisis
886,310311,Young_Sheldon
887,310097,Czech_Republic
888,309906,Ewan_Mitchell
889,309675,Pirates_of_the_Caribbean_(film_series)
890,309180,Michael_Schumacher
891,308997,Nicole_Kidman
892,308833,U.S._state
893,308807,Art_the_Clown
894,308705,Bruce_Lee
895,308405,The_Godfather
896,308217,Helena_Bonham_Carter
897,307842,Conor_McGregor
898,307633,James_Dougherty_(police_officer)
899,306188,Gerard_Butler
